20210202,Austin,"February 2, 2021 Austin City Council Work Session ",Agenda - Work Session,https://www.austintexas.gov/edims/document.cfm?id=354089
20210202,Austin,"February 2, 2021 Austin City Council Work Session ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=354264,Video,http://austintx.swagit.com/play/112395/0/
20210224,Austin,"February 24, 2021 Audit and Finance Committee Regular Meeting ",Agenda: Audit and Finance Committee (AFC),https://www.austintexas.gov/edims/document.cfm?id=354994
20210224,Austin,"February 24, 2021 Audit and Finance Committee Regular Meeting ",Agenda - Cancellation Notice: Audit and Finance Committee (AFC),https://www.austintexas.gov/edims/document.cfm?id=355196
20210210,Austin,"February 10, 2021 Austin Energy Utility Oversight Committee Regular Meeting ",Agenda: Austin Energy Utility Oversight Committee (AEUOC),https://www.austintexas.gov/edims/document.cfm?id=354071
20210210,Austin,"February 10, 2021 Austin Energy Utility Oversight Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=354907,Video,http://austintx.swagit.com/play/112787/0/
20210211,Austin,"February 11, 2021 Austin City Council Special Called Meeting ",Agenda - Special Called Meeting,https://www.austintexas.gov/edims/document.cfm?id=354612
20210211,Austin,"February 11, 2021 Austin City Council Special Called Meeting ",Agenda - Cancellation Notice,https://www.austintexas.gov/edims/document.cfm?id=354845
20210204,Austin,"February 4, 2021 Austin City Council Regular Meeting   ",Agenda,https://www.austintexas.gov/edims/document.cfm?id=353639
20210204,Austin,"February 4, 2021 Austin City Council Regular Meeting   ",Combined Agenda and Addendum,https://www.austintexas.gov/edims/document.cfm?id=354127
20210204,Austin,"February 4, 2021 Austin City Council Regular Meeting   ",Agenda Addendum,https://www.austintexas.gov/edims/document.cfm?id=354087
20210204,Austin,"February 4, 2021 Austin City Council Regular Meeting   ",Agenda Changes and Corrections,https://www.austintexas.gov/edims/document.cfm?id=354333
20210204,Austin,"February 4, 2021 Austin City Council Regular Meeting   ",Agenda Questions and Answers,https://www.austintexas.gov/edims/document.cfm?id=354298
20210204,Austin,"February 4, 2021 Austin City Council Regular Meeting   ","20210204-048, Agenda Late backup: Nominations & Waivers V4",https://www.austintexas.gov/edims/document.cfm?id=354376
20210204,Austin,"February 4, 2021 Austin City Council Regular Meeting   ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=354444,Video,http://austintx.swagit.com/play/112547/0/
20210218,Austin,"February 18, 2021 Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting ",Agenda: Austin Housing Finance Corporation (AHFC),https://www.austintexas.gov/edims/document.cfm?id=354613
20210225,Austin,"February 25, 2021 Austin City Council Special Called Meeting ",Agenda - Special Called Meeting,https://www.austintexas.gov/edims/document.cfm?id=355198
20210225,Austin,"February 25, 2021 Austin City Council Special Called Meeting ",Agenda Addendum: Special Called Meeting,https://www.austintexas.gov/edims/document.cfm?id=355264
20210225,Austin,"February 25, 2021 Austin City Council Special Called Meeting ","20210225-001, Agenda Late Baclup: AE Presentation",https://www.austintexas.gov/edims/document.cfm?id=355395
