Date,Location,Meeting,DocTitle,PDF,Link,Keywords
20220203,Austin,Austin City Council Special Called Meeting ,Agenda - Special Called Meeting,https://www.austintexas.gov/edims/document.cfm?id=375692,None,3council|member|approve|5council|councilmaybeparticipating|western|settlement|district|itemon|second|512|ataustin|and|chavez|members|tem|kathie|120cv1174rpintheunited|thecity|specialcalledmeetingwill|natasha|4council|causeno|council|austin|hall|oftexas|adlermayor|v|harpermadison|ofaustin|1council|contactthe|alter|information|some|7council|court|for|6council|february|w|in|convene|leslie|ofcity|paige|aa4|ellis|alison|tovo|maygointoaclosedsessionaspermitted|2council|renteria|pio|ann|arianna|9for|th|statesdistrict|stintexasgovtileeahnahto·lai·0814•0lcit·631maustin|fuentes|onthursday|kitchen|councilagendaspecial|citycouncil|tx|thetexasopenmeetingsact|pro|10council|sabino|400pm|called|32022|casar|kelly|gregorio|steve|re|regr1|pool|clerk|8council|meeting|1ded1•zbmayor|9742210|city|street|at|byvideoconference3iekha210|vanessa|by|chapter551ofthetexasgovernmentcoderegardingany|mackenzie|aleetingthursdayfebruary32022the|301|thisagendalaw1,
20220208,Austin,Austin City Council Special Called Meeting - 09:00 AM Joint Meeting with Travis County Commissioners Court ,Agenda - Special Called Meeting: Joint Meeting with Travis County Commissioners Court,https://www.austintexas.gov/edims/document.cfm?id=375825,None,committedtocompliancewiththeamericanswithdisabilitiesactreasonablemodifications|3council|member|5council|accesstocommunicationswillbeprovideduponrequestforassistancepleasecall|interpreterbemadeavailableby|la|spanishlanguage|routethrough711apersoninayrequesta|chito|commissioners|district|scheduledtimeoftheitemonwhichthepersonwislies|second|512|horasantes|atthecoimcilmeetingcualquierpersonapuedesolicitarserviciosdeintdrpreteenespafiol|ataustin|tem|kathie|special|orttyzisers|natasha|4council|council|tuesday|austin|hall|alpersonal|delahorndetenninadaparaelasimtosobreelcual|adlermayor|harpermadison|1council|contactthe|alter|information|presenteenlasesi611delconsejo|7council|am|6council|900|ilameal5129742210conanticipooinfonne|county|tospeak|february|courttuesdayfebruary82022the|w|relatedmattersadjournthecityofaustinis|leslie|paige|briefings1|ellis|alison|comimicindoseconlaoficinadel|tovo|2council|municipalanomistardardeveinteycuatro|renteria|meetingwith|pio|andequal|82022|ann|clerksstaffpresent|jose|9for|secretarioa|stintexasgovtileeahnahto·lai·0814•0lcit·631maustin|personadesea|fuentes|5129742210|kitchen|councilagendajoint|tx|travis|covid19|vela|pro|10council|sabino|comentarporfavor|andviavideoconferencefip4etie13h0imayor|calledmeetingwillconveneat|del|advanceorinformthecity|kelly|steve|pool|contactingtheofficeofthecityclerknotlaterthantwentyfourhours|clerk|8council|meeting|9742210|city|on|street|secretarioamunicipal|beforethe|vanessa|pleasecall5129742210iii|mackenzie|301|update,
20220302,Austin,Austin City Council 08:30AM Special Called Meeting ,Agenda - Special Called Meeting: Joint Meeting with Capital Metro Board of Directors and Austin Transit Partnership Board of Directors,https://www.austintexas.gov/edims/document.cfm?id=377142,None,committedtocompliancewiththeamericanswithdisabilitiesactreasonablemodifications|3council|member|5council|accesstocommunicationswillbeprovideduponrequestforassistancepleasecall|78752room|rlrae|discussion1|atthecouncilmeetingcualquierpersonapuedesolicitarserviciosdeintdrpreteenespafiol|specialevent|chito|district|itemon|advanceorinfornithecity|512|horasantes|oforangelineandblueline|andsonicmembers|planninganddevelopment|and|thisagendacouncil|transit|josd|pleasecall|tem|kathie|ofdirectorswednesday|beforethescheduledtimeoftlie|special|thecity|orttyzisers|natasha|municipalanomistardardeveinteycitatro|4council|coimmicindoseconla|council|may|5129742210iii|participatingby|austin|1406|desea|adlermayor|ofdirectors|harpermadison|ofaustin|1council|contactthe|alter|information|anddiscussion|march22022atcity|7council|will|6council|languageinterpreterbemadeavailableby|ofcitycouncil|ilameal5129742210conanticipooinfonne|tospeak|be|texas|itein011whicli|convene|leslie|paige|lightrail|ellis|routethrough711apeisonmap|alison|tovo|capital|aletro|videoconference3iekha=la44|maygointoaclosedsessionaspermitted|2council|takenadjournthecityofaustinis|requesta|tietie13h0imayor|delahoradetenninadaparaelasimtosobreelcital|9agendajointmeeting|renteria|designstamsnoactionwillbe|spanish|pio|drive|ann|andequal|clerksstaffpresent|partnership|9for|march|secretarioa|projectconnect|space|22022the|fuentes|830amonwednesday|5129742210|kitchen|alpersoiial|citycouncil|vela|pro|thetexasopenmeetingsact|10council|with|still==govecah03totiai·lax¥01cltii3111austin|sabino|secretarioamunicipalpresenteenlasesi6ndelconsejo|comentarporfavor|delco|del|kelly|steve|pool|board|contactingtheofficeofthecityclerknotlaterthantwentyfourhours|clerk|8council|center|meeting|calledmeeting|6310wilhelmina|oficinadel|9742210|city|on|at|thepersonwislies|vanessa|by|chapter551ofthetexasgovernmentcoderegardingany|lapersona|mackenzie|update,
20220309,Austin,Austin City Council Discussion ,Agenda - Discussion,https://www.austintexas.gov/edims/document.cfm?id=377995,None,meet|council|support|may|9|quorum|tty|youth|austin|no|tx|provided|front|route|families|communications|action|with|wednesday|in|2022|assistance|5129742210|modifications|act|steps|hall|compliance|community|press|access|disabilities|second|attend|711|proclamation|upon|users|please|and|conference|am|will|equal|city|present|on|street|lgbtqia+|march|at|900|reading|request|members|for|reasonable|committed|trans|be|call|to|301|americans|through|w|taken,
20220203,Austin,Austin City Council Special Called Meeting ,Transcript,https://www.austintexas.gov/edims/document.cfm?id=375882,http://austintx.swagit.com/play/153972/0/,mayor|tonight|original|day|seeking|posted|atxn1|prove|what|60000|place|attendance|chavez|thank|youll|facilitated|claims|special|little|remember|need|austin|…|just|hurt|everyone|have|actually|our|my|freezes|now|==================================|helping|favor|arising|generated|record|am|for|last|hand|officers|to|convene|urge|good|3rd|channel|date|great|told|it|versus|new|where|protest|right|exchange|discussion|time|vela|with|cautious|places|called|minutes|casar|vote|refer|votes|up|soon|about|its|opposed|slippery|by|as|left|those|online|incorporate|adjourned|look|approve|deborah|you|transcript|western|happened|protests|unanimous|settlement|adler|dismiss|that|her|air|check|tem|find|call|sure|theres|go|may|tomorrow|apologies|harpermadison|note|title|going|but|will|538|could|agenda|try|precipitation|think|item|others|county|especially|can|clarity|today|speak|arises|sorry|warming|know|stemming|roads|united|im|vulnerable|wanted|so|dont|2020|stations|still|difficulty|close|53225|no|payment|people|there|law|chuckling|volunteers|monday|was|53430|from|any|53530|dangerous|at|yes|passes|one|assistance|let|here|do|set|chito|district|weve|picked|stopped|pretty|adjourn|and|recorded|–|motion|injuries|department|232022|thomas|not|ill|following|pull|during|constitute|councilmember|stay|present|continued|be|ask|able|colleague|53326|lets|6|hopefully|ms|150000|101|if|53633|want|approved|everybody|are|work|okay|i|thats|kelly|before|then|because|case|extend|clerk|meeting|does|might|awe|welcome|get|out|would|they|532|make|had|ahead|needlessly|2022|incident|too|finally|second|fact|snapstream|experience|wants|behalf|me|please|plaintiff|received|makes|lot|dais|council|quorum|involving|safe|legal|this|release|all|protected|getting|take|alter|reference|official|first|actions|nay|court|lawsuit|we|900|311|ceremony|february|texas|cold|in|much|inauguration|has|being|which|seconds|your|pm|when|avoid|forth|say|neighbors|also|settle|states|taken|24hr|recommend|raise|pro|dry|appreciate|02032022|against|show|city|on|purposes|staff|many|been,
20220118,Austin,Austin City Council Special Called Meeting ,Transcript,https://www.austintexas.gov/edims/document.cfm?id=375091,http://austintx.swagit.com/play/152992/0/,seven|mayor|phone|discussed|member|already|practical|front|havent|taylors|original|enter|put|glad|state|required|combined|day|posted|opposition|yeah|gives|appleseed|atxn1|use|litigation|safer|what|associated|volunteer|60000|place|she|guzman|crashing|attendance|government|thank|morning|controversy|91142|midst|55107|three|special|land|cases|abilities|wondering|need|telephone|seeing|moved|austin|just|least|conversation|everyone|helped|verified|cost|end|five|requirement|takes|have|3|marijuana|cant|our|officer|my|tactical|speaking|party|believe|desmond|dear|now|september|favor|other|resolutions|background|generated|record|appreciation|am|remedial|for|91744|last|perspective|104453|standing|92048|hand|cam|scarce|officers|us|brought|more|to|count|who|inability|way|commissions|convene|lobbed|theoretically|enforcement|risk|support|each|nothing|good|wrong|urge|ruined|acted|quite|ellis|level|considering|channel|must|policies|off|issuing|date|property|related|it|22000|mr|upon|session|breonna|91543|1041|move|lowlevel|attending|commission|versus|ann|formalize|flexible|decision|march|shes|where|new|small|right|current|through|handle|issue|discussion|theyre|police|closed|executive|time|104250|value|said|agreement|why|expense|600|travis|decriminalization|speaker|orders|with|appear|banning|sent|imagine|same|remotely|called|minutes|apd|controversial|casar|florida|participate|vote|refer|measures|joint|votes|91847|reform|up|sufficient|chairing|pool|these|board|about|104049|1048|items|apply|its|virtual|directed|examples|signatures|voters|opposed|wait|ball|unarmed|nine|by|as|stated|resident|start|george|reduce|help|update|those|left|killing|problems|essence|course|relevant|8119|adjourned|idea|broad|approve|passed|action|environmental|petition|limited|you|transcript|discuss|bringing|happened|councils|understanding|commissioners|moves|segel|pushed|waited|overwhelming|year|adler|entry|situation|that|made|air|care|noknock|report|clarification|vice|departmental|tem|come|tickets|anna|oregon|further|until|call|alongside|sure|respect|bring|code|theres|go|save|seen|may|very|chris|arrests|locations|encountered|next|accommodate|handled|hall|citations|mitchell|bicycle|harpermadison|hear|note|conferencing|title|booked|information|join|organize|eight|going|necessarily|helps|but|will|90736|quicker|person|could|well|agenda|interpretation|different|try|remote|think|organizations|read|item|preferred|county|90941|houston|cancel|especially|can|taylor|goes|today|20211104062|gets|adopting|coming|having|virginia|speak|petitions|todays|2021|kathy|happy|salasporas|probably|know|mlk|putting|game|liaison|needs|possession|summer|im|resulted|should|92148|hope|maybe|so|dont|issues|extremely|things|2020|wanted|losing|appears|still|smart|killings|freedom|pursuant|longer|space|belief|both|codified|kitchen|neighbor|practice|talked|strong|done|democratic|no|over|director|often|policy|people|there|91947|law|distance|proceed|real|community|stop|see|important|timesensitive|tea|courageous|personal|was|into|from|did|address|any|method|political|walk|interest|at|become|simply|yes|again|collected|noticed|passes|34000|inperson|resolution|1030|piece|ballot|better|executed|advisory|served|one|heard|their|jurisdictions|couple|waiting|here|91041|do|set|beginning|weve|timely|stopped|regular|placed|yall|initiated|remaining|and|michael|recorded|ground|effective|731|folks|availability|encourage|–|motion|underscore|everybodys|organization|whether|opposing|uniform|104554|charges|injuries|ic|social|department|decided|matter|tuesday|not|ill|else|certainly|ending|passing|91644|ten|shooting|rather|desk|act|knock|signed|only|following|january|during|2|how|reminder|shot|constitute|implement|some|willing|91342|option|stay|present|turn|amount|be|arrest|achieve|warrant|low|number|ask|leslie|local|able|lets|residents|pandemic|question|passage|6|beyond|forward|floyd|tovo|exactly|addressing|ms|communitybased|resistance|best|spoke|ones|supportive|doing|if|bit|1st|want|approved|radical|everybody|colleagues|presented|while|harris|practices|are|organizers|thursday|belated|moving|work|departments|chance|perhaps|okay|brief|104150|ongoing|whereby|video|aware|didnt|position|reduction|104352|than|29th|objection|pushing|got|i|allowed|ban|lock|thats|significant|possible|money|voting|speakers|kelly|before|requirements|november|then|pulled|because|90839|clerk|hard|meeting|monica|were|does|point|permanent|might|someone|endorsed|house|language|hybrid|drug|deciding|24th|15|welcome|alike|consideration|get|4|out|needless|would|distancing|they|1182022|few|completely|ahead|make|had|measure|even|2022|honor|husband|light|too|louisville|liberty|door|problem|second|fact|ensure|coalition|missing|announce|boards|most|snapstream|experience|requesting|effectively|mike|me|prosecute|please|killed|appeared|members|safety|5|wont|ordinance|makes|opportunity|additional|struggle|lot|dais|particularly|council|pass|quorum|otherwise|protection|offering|citizen|safe|reforms|agree|legal|whats|four|making|this|decriminalizing|921|down|all|available|18th|justice|attend|week|an|management|options|warrants|getting|difference|take|degree|except|fine|participation|afforded|reference|official|alter|criminalized|actions|either|1130|loud|we|six|long|mixed|february|texas|lawsuits|in|facilities|enable|much|portion|really|secondarily|progress|working|has|concerns|being|which|seconds|your|ago|including|when|name|designated|voted|stronger|general|meetings|allow|public|renteria|high|clearly|thing|indication|hundreds|parts|reputation|upcoming|unregistered|frankly|own|say|offered|104801|also|91242|taken|24hr|two|cannot|without|election|raise|worked|pro|likely|pittsburgh|clear|exception|asked|grave|spend|joining|quickly|appreciate|back|91443|ive|vamos|risking|reflective|exact|danger|themselves|understand|104655|representative|city|on|purposes|begin|staff|planning|chair|adopt|something|protect|feel|them|body|choice|basically|been,
20220201,Austin,Austin City Council Work Session ,Agenda - Work Session,https://www.austintexas.gov/edims/document.cfm?id=375605,None,burnet|childcare|mayor|mitigation|915|apartments|business|2022sponsors|tove|member|between|criteria|amounts|laura|waterfront|51|along|slaughter|achievement|billing|outcomes|counsel|mobility12|attal|design|state|required|services|day|expenditures|420|study|opposition|combined|workforce|30|indefinite|use|codee6|3300|125|14000000|mbe|project|oneyear|dbe|associated|assocates|1100|prese1vation|conversion|residenceneighborhood|plan|government|congress|affiliated|switchgear|burns|m|services2|21|claims|techline|three|special|therefore|land|reserve|e|airpo1t|identified|1826|removal|valid|minority|lamar|austin|annual|all17|10000000|modifications|five|authorizing|551074|3|marijuana|jesse|janua1y|doris|opportunitiesstrategic|engineering|bl|consisting|owner|provide|east|25000|conservation|affordability30|capacitor|847000strategic|frontage|1500000note|future|joseph|other|employment|all11|29d|usafit|challenge”|1611|234|waivers|zming|900am|qualifications|for|2022development|responders|faith|reading|rescue|hub|winstead|map|us|to|way|commissions|citizeninitiated|enforcement|risk|support|each|good|paige|1900000note|lifelong|acted|j|increase|8|ellis|alison|capital|modify|residencestandard|clmp321|years|extension|restrictive|anderson|manor|42|property|related|cady|block|upon|658|session|32212083note|wall|polymer|lowlevel|consultation|136421040strategic|elizabeth|commission|deny|committees|ann|source|desirable|bylaws38|13311|partnership|half|leasehold|codee4|hours|govemment|fund|new|426|williamson|all7|jobs|filed|south|exchange|through|appropriate|northbound|eliminate|discussion|investing|closed|police|executive|value|12464d|lettering|agreement|economic|san|travis|with|municipal|inc|oracle|54|imagine|market|grant|designation|called|minutes|1540000note|casar|highway|oaks|vote|gregorio|accordance|polydyne|measures|he|20220118002|encroachments|pool|up|planned|these|board|29a|international|term|declaring|items|1|approximately|associates|intergovernmental|watershed|energy|energy’s|arpacares|representation|warehouse|culture|neighborhood|reinvestment|jr|c|by|as|richard|unless|reduce|update|conduct|9|avi|mhp|78751|central|participationstrategic|lands|recommendation|idea|6law27|approve|45|definition|61687|applicant’s|action|throw|petition|open|acres|negotiation|limited|amendments|brodie|discuss|vehicles|protests|135|78727|applicant|year|adler|connect|hill|all8|kely|that|description|care|noknock|applicants|terminate|1495|736|tem|entity|developmentstrategic|accept|code|natasha|htg|go|utility|may|housing|commons|notices|agendaapproval|78723|contracts3|suttle|hearing|locations|53|appointments|rights|40|increment|lipdanp|landmark|hall|goals|maintenance|3513000note|howard|pc|833|harpermadison|feet|exempt|adkr|selection|professional|terms|note|transportation|establishedstrategic|29c|500|programming|title|information|affordable|1800|servicesplanned|will|event|comprehensive|table|agenda|item|eviction|52|county|lonp|closing|houston|marathon|janice|road|william|43|north|desired|d|mobility|thaxton|underground|reconvene|pllc|reflect|lotneighborhood|however|credits|2021|america|rosewood|funding|licenses|18|administer|american|family|7items|element|914|78752|mlk|e2|solicitation|application|upgrade|washing|pio|united|831|exceed|issues|2020|smart|c1482185rct|wesco|leighfisher|rezone|fuentes|requestdistricts|negotiations|davis|part|kitchen|cfr|1817500|divided|fees|industrial|urban|4401|cbdh|hour|no|721|tx|results|over|linbeck|there|separate|assist|cooperation|citys|real|customer|execution|valley|community|historic|outcomesj|all5|canvassing|steve|was|third|into|from|nonconsent|avenue|address|any|5k|zone|services19|center|revenue|tank|interest|contractorsnote|at|financial|facility|company|initial|consent|districts|national|122|48|cbd|insufficient|da1yl|resolution|times|gutierrez|“civic|manageratrisk|funds|510|ricondo|20212022|armbrust|one|proposed|opportunities|leah|estate|rezoning|sites|zoning|renterssponsors|roadstrategic|robert|4250000note|set|kunikco|prevent|comptroller|district|regular|correct|korterra|competitive|amending|adjourn|unison|44|and|michael|century|regiene|923|agent|works|instruments|total|used|renovations|stationsstrategic|31|affordabilitydistricts|motion|limits|equipment|kathie|pleasant|emergency|11ember|adjournment|ownerapplicant|dorsaneo|department|5129747719|148|jay|exhibit|nicholas|tuesday|not|620|lofts|cobblestone|5129741606districts|600000|spatial|change|ridge|act|contractor|71|single|personnel|costs|11ackenrie|banks|following|t|january|jurisdictionstrategic|ranch|during|2|terminal|manager|551072|system|10041008|extending|b|lease|safety13|transfer|550000note|bridge|some|brummett|automatic|all9|021107z11|multiterm|construction|continued|corporation|sole|locally|amount|be|among|goods|improvements|400000note|leslie|per|wbe|wendy|1701|pease|recommended|revise|environment10|learning|6|nalleyshearbremond|directors|tovo|suites|lanestrategic|compliance|fee|1200000note|29b|west|events|2500000|77|located|supportive|documents|reimbursement|c14h20210181|briefings|el|southstrategic|buildingstrategic|boulevard|549|6501|approved|symcox|projects|duties|308000|participating|27|authorize|are|llc|senior|work|known|mary|st|lanepleasant|850000|program|rhoades|video|electric|section|kingsbury|allparks|2101|cationic|i|officeneighborhood|ban|videoconfecence|private|possible|rightofway|voting|maximum|mobility16|20210811001|5129747719districts|50|ct|tier|november|contracts|all4|18625000|minutes1|allocation|salt|39th|110|oft|extend|liability|7|create|austinbergstrom|purchase|clerk|290strategic|meeting|race|gillis|permanent|were|chaffin|innovation|industry|request|street|systems|subcontracting|rm|enhancements|speed|permitted|httpswwwaustintexasgovdepa1tmentcitycouncil202220220203ahfchtm|creeks|servicesneighborhood|environmenthousing|lp|bodies|sponsors|4|award|implementation|would|restek|32|double|boulevardstrategic|limit|labor|affordabilityfleet|recreation28|cannon|powell|20212025|2022|distribution|tech|acquire|enterprise|health|15kv|10|creating|homelessness|combining|second|encroachment|greater|near|transmission|early|all6|fiscal|boards|efforts|disadvantaged|office|55|location|400|within|ordering|group|brown|certain|members|5|safety|covenant|termination|mcdonnel|ordinance|nuckols|areaneighborhood|charging|opportunity|additional|bojo|contract|resource|26|9transportation29|5129742122|council|replacement|major|operating|square|npa2020001503|citizen|owner’s|legal|occurred|fleet|four|kunik|prope1ty|this|rizzo|3565000|parkway|university|78750|heather|extraterritorial|creek|science|involved|hdr|all|lancaster|an|management|options|city’s|red|parkstrategic|hearings|infrastructures|awarded|boggy|installation|yager|alter|acceptance|flum|kensington|551|control|hosting|49|park|first|deliveryindefinite|court|1420200143|rehabilitation|consulting|interlocal|rebid|preconstruction|bastrop|drenner|amendment|mismatch|environment|affordability|36000|council37|february|2739200note|cleanup|texas|lawsuits|w|in|preservation|finance|expansion|regarding|41|5129741264|sf2np|sf3np|has|projectstrategic|6705|wanants|funded|outside|salido|accounts|jacinto|tax|waiver|safetydistricts|planning20|including|airport|codee5|parmer|corporations|tenant|bungalows|ellis39|13|procurement|meetings|renteria|reviewed|public|25|524|held|patricia|software|simple|drive|alldistricts|51075111|temporarily|parts|convict|ih|establishing|78745|museum|continue|forth|establish|35|evaluation|requests|add|e3|preselected|strategic|also|conservancy’s|regulations|budget|elmo|167|compensation|quantity|two|environment18|dba|46|owned|78612|revised|lane|daryl|election|dates|charley|chapter|pro|frasca|sabino|b2|hotel|outcomefs|carmona|women|qualified|miles|cl420210l|include|matters|truck|cedar|adults|linp|propertysection|displacement|necessary|foundation|crossing|providing|mexicarte|equestrian|escarpment|development|47|potts|established|install|springs|city|on|recess|551071|staff|1financial|planning|surface|vanessa|electrical|301|integral|initiative|been|todd,
20220310,Austin,Mobility Committee Regular Meeting ,Agenda: Mobility Committee (MOBC),https://www.austintexas.gov/edims/document.cfm?id=377421,None,implementation|utc|gina|mayor|tty|streets|kelly7|member|approve|opportunities|proposed|action|assistance|2022|open|discuss|here|10|counsel|kellyfuture|committee’s|second|711|identify|orderpublic|harpermadisonto|and|investment|httpswwwaustintexasgovdepartmentcitycouncilcouncilcouncilcommitteeinfocenterhtm|recent|plan|please|vice|government|chairann|programsponsors|contact|members|tem|kellyadjournthe|call|improved|videoconference|code|natasha|corridor|go|council|may|alter4|quorum|committeethe|austin|alternatasha|legal|infrastructure|this|modifications|act|hall|only|partiessponsors|available|generalapproval|harpermadison|outcomesponsors|manager|transportation|actsponsors|future|information|some|communication|utcactionssponsors|will|requestfor|present|items8|agendacall|play|construction|linked|amendment|item|amendmentssponsors|february|be|to|texas|americans|w|paige|regarding|mobility|provided|communications|ellis|which|alison|speak|6|compliance|pm|chairmackenzie|actreasonable|disabilities|block|fiandaca|upon|session|meetings|liaison|100|commission|committee|ann|equal|participating|federal|thursday|home|march|kitchenalison|living|committed|strategic|briefing|jobs|through|taken|kitchen5|healthystreets|5129742210|meet|closed|section|urban|page|under|tx|route|pro|with|citys|remotely|grant|initiative|minutes|assistant|2022briefings2|access|kelly|advice|residentled|users|minutes1|into|from|meetingssponsors|any|kelly3|items|meeting|city|on|street|staff|at|551071|chair|receive|by|mackenzie|301|process|update,
20220127,Austin,Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting ,Agenda: Austin Housing Finance Corporation (AHFC),https://www.austintexas.gov/edims/document.cfm?id=374735,None,burnet|humanity|apartments|abr|rehabilitate|cross|711|andconstructinople|ahfc|government|plannedunitdevelopmentforhouseholdswhose|1934rutlanddrivedisfricts|three|corporationtoacquirea|developmenttobe|itbackto|removal|approvingthe|austin|mealson|medianfamily|qualifiedtenantswhohave|authorizing|have|whose|contractors|forabrownerands185000for|ofthe|am|toexceeds1695000s1510000|actionotcentral|austintexas|for|8000|appointing|atrutland|more|to|who|boardofdirectors|each|atexas|negotiationandexecution|orbelowmedian|develop|residential|areaurbanleague|programdocumentstoobtain|certificate|andthen|session|optionswith|formerhotelpreviously|forms|eachofthe|inan|plannedunit|13311|disabilitiesactreasonablemodificationsandeqialaccess|todeveloplowincomehousing|formationofahfcbalcones|espero|qualifiedtenants|suchaffiliate|closed|corporationto|andpresident|inanamount|with|inc|20monthcontractthatincludes|easterseals|highway|grove|habitat|terrace|manageandoperatethe|andoperate|board|its|nottoexceed|secondstreetaustin|roadaustin|formationofahfcpecanpark|commtinicationstrillbeprovided|by|austinhousingfinance|cityofaustin|as|thefornier|anyitem|9|central|unitsto|approve|suiteslocatedat|candlewood|builders|action|locatedat|interfaith|beparticipating|open|pshnonprofitcorporation|negotiation|corporation2|ofa|that|fromthecity|includes|care|agencies|authorizingthe|onwheelsandmore|2720221030|code|go|may|housing|homes|boardmeetings|hall|rentaldevelopmentandlease|12monthcontractextension|ofdirectors|whichwill|20monthjob|andinstrumentality|anamount|americanyouthworksaustin|optionswitheachofthe|affordable|will|contractwith|andexecutionofa|ofalistiniscommittedtocompliancewiththeamericans|gorepair|andmore|toqualifiedtenantswhohaveexperiencedhomelessnessdisfricts|corporationsteveadlernatasha|texasmeals|interfaithactionoicentral|ofthedecember22021|2021|homelessnessdisfricts|anaffiliate|18|andbylaws|meals|family|housingfinance|aresolutionauthorizing|manage|income9|harpermadisonvanessa|milestonecommunity|and6affordable|20monthcontractthat|forhouseholds|loan|andinstrumentalityofthe|unitswithin|tx|videoconferenceagendathe|balcones|nonprofit|fromthe|andrelatedaffordable|corporationtoacquire|withinthe|into|from|wheels|tocontract|income|at|facility|austinhabitat|1030|incvaldezremodelingandweatherization|fundandadminister|fientessabilio|district|affordablerentalunits|obligationbondfundedhomerepairprogram|thetexas|and|andarchitecmral|renterprograms|611|nottoexceed200000007|thecity|orgrant|not|ofcentral|thehomeownerrehabilitation|act|following|january|piofrenteriagregoriocasaramikitchenmackenziekellylesliepoolpaigeelliskathietoroalisonalter|ofaustin|lease|chronic|some|offorniation|rentaldevelopment|60orbelow|amaustin|corporation|amount|12monthcontract|conoration|nottoexceeds20000005|suites|10024northcapital|abrowner|oifoundationcommunitiesinc|located|psh|programin|texasnonprofit|hallaustin|experienced|27|authorize|austinhousing|are|programagreement|thursday|llc|known|barrierremovalabr|paymentof3587337|trith|pecanpark|austin301|private|units|optionswitheach|knownas|wastewaterlateral|executionofan|andto|renter3|12month|permanent|street|ordercontract|plumbingprogram|permitted|homelessnessdistrics|witheach|barrier|forhumanity|formerhotel|inc„|2022|second|ornear|americanyouthworks|s750000|architectural|andrebuildingtogetheraustin|members|contractextension|andamericanyouthworksto|txaaustinhousingfinancecorporationagendathursday|this|district410|rental|oftexas|developmentasaresidential|551|park|oftheaustin|ofits|agendaconsent1|texas|w|in|meeton|formationofahfc|finance|regarding|incomesare|anamountnottoexceeds70000004|bungalows|7adiourn6|meetings|general|1·olitethi·otigh|nonprofitcorporation|developlowincomehousing|drive|80|facilityas|hall301|3500006|chapter|acquirea|experiencedchronic|themeetingminutes|extensionoptions|corporationtodeveloplowincomehousing|hotel|uponrequestforassistancepleasecall51297422100·ttyisers|austinareaurbanleague|terracenonprofit|negotiationandexecutionofa|development|constructionof44|incomes|city|on|familyeldercare|fundandadministerthe|anddecember|previouslyknownas|developrehabilitatemanage|followingnonprofit|integral|aresolution|ilcor,
20220309,Austin,Public Health Committee Regular Meeting ,Agenda: Public Health Committee (PHC),https://www.austintexas.gov/edims/document.cfm?id=377371,None,9|tty|tove|member|approve|action|assistance|tovo6|2022|items7|open|calendarsponsors|discuss|health|counsel|order|second|substance|711|quomm|identify|adler|use|and|centerlocal|please|vice|government|fuentes3|contact|appointee|members|sobering|fuentesbriefings|5|kathie|austinsponsors|call|videoconference|code|natasha|go|council|may|austin|2022discussion|legal|this|meetingsadjournthe|modifications|homelessnesssponsors|act|hall|only|available|t|2|selection|future|information|some|communication|am|will|requestfor|present|agenda|february9|corporation|item|be|to|texas|approval|americans|w|in|haipermadison|regarding|directorssponsors|provided|communications|ovo|speak|2021|compliance|actreasonable|related|disabilities|upon|session|meetings|general|public|liaison|committee|committees|ann|processsponsors|issues|equal|participating|home|march|disorder|tovofuture|committed|briefing|fuentes|through|taken|5129742210|kitchen|discussion|meet|closed|section|page|under|tx|route|amend|with|wednesday|possible|trauma|citys|remotely|recovery|minutes|community|access|centers|steve|advice|november|users|into|from|930|any|board|sud|items|1|meeting|city|on|street|staff|at|551071|planning|chair|receive|vanessa|by|301|4,
